estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi,dhi,dni
aeroparque_aero,CAPITAL FEDERAL,Pampeana,SABE,-34.55,-58.4167,6.0,87582.0,3.0,0.1572,7.5,5.925,4.5,0.9314,71.1,11.3,0.0529,76.4,71.4417,65.1,3.7802,857.3,1.1,0.1123,4.2,3.625,3.1,0.407,43.5,62.9,0.2529,117.5,92.2417,54.6,23.3298,1106.9,13.2,0.2625,24.5,18.05,11.3,4.7383,216.6,14.0,0.2304,28.4,21.6083,14.4,4.978,259.3,12.4,0.3025,20.8,14.725,8.4,4.454,176.7,1405.913,1316.8187,-23.0859,23.4498,14.2757,9.6829,11.4641,57.9998,199.86391666666665,77.28377777777779,212.44079166666666
azul_aero,BUENOS AIRES,Pampeana,SAZA,-36.8167,-59.8833,147.0,87641.0,3.9,0.2332,7.3,5.5583,3.4,1.2965,66.7,17.9,0.0772,81.4,74.1,63.5,5.7225,889.2,1.0,0.0991,4.2,3.7333,3.2,0.3701,44.8,76.8,0.3301,113.9,77.9583,37.1,25.7374,935.5,14.7,0.374,21.6,14.1167,6.9,5.2796,169.4,16.3,0.2729,29.5,21.1667,13.2,5.7768,254.0,12.2,0.5673,14.0,7.7917,1.8,4.4199,93.5,1405.913,1316.8187,-23.0859,23.4498,14.4809,9.4737,13.7308,60.2664,198.29919444444445,75.43658333333333,218.66320833333336
bahia_blanca_aero,BUENOS AIRES,Pampeana,SAZB,-38.7,-62.15,83.0,87750.0,3.2,0.1973,6.7,4.975,3.5,0.9818,59.7,23.2,0.1186,75.2,64.6417,52.0,7.6662,775.7,1.2,0.1163,4.1,3.575,2.9,0.4159,42.9,38.9,0.2962,70.6,53.2583,31.7,15.7777,639.1,16.0,0.3697,23.6,15.4083,7.6,5.6962,184.9,17.3,0.2758,31.2,22.425,13.9,6.1846,269.1,13.9,0.53,16.3,9.2417,2.4,4.8985,110.9,1405.913,1316.8187,-23.0859,23.4498,14.6623,9.2886,15.6141,62.1498,201.66622222222222,72.50474999999999,231.54054166666666
bariloche_aero,RIO NEGRO,Patagonia,SAZS,-41.1333,-71.15,835.0,87765.0,10.8,0.5631,13.3,6.8167,2.5,3.8388,81.8,27.2,0.1569,79.1,65.0167,51.9,10.2024,780.2,2.7,0.223,5.4,4.0083,2.7,0.8939,48.1,150.8,0.7443,168.3,67.7083,17.5,50.3945,812.5,13.3,0.5706,15.4,8.4583,2.1,4.8263,101.5,16.5,0.4058,23.2,14.9333,6.7,6.0604,179.2,8.6,1.2221,7.0,2.5167,-1.6,3.0757,30.2,1405.913,1316.8187,-23.0859,23.4498,14.9141,9.0317,18.0474,64.5831,183.92819444444444,76.33841666666667,221.2419166666667
base_belgrano_ii,ANTARTIDA,Antártida,SAYB,-77.8667,-34.6167,256.0,89034.0,0.88,0.0847,4.54,4.29,3.66,0.3632,51.48,9.46,0.0319,86.4,84.565,76.94,2.6977,1014.78,1.5,0.1007,5.4,4.6083,3.9,0.4641,55.3,12.8,0.1539,42.78,34.0283,29.98,5.2374,408.34,18.3,-0.512,-2.6,-13.2167,-20.9,6.7667,-158.6,18.3,-0.6983,0.8,-9.75,-17.5,6.8086,-117.0,18.9,-0.3952,-6.1,-17.3833,-25.0,6.8695,-208.6,1405.913,1316.8187,-23.0859,23.4498,24.0,0.0,54.7808,101.3164,126.40911111111113,59.517527777777765,165.481125
base_carlini_ex_jubany,ANTARTIDA,Antártida,SAYJ,-62.2333,-58.65,11.0,89053.0,0.94,0.0353,8.62,8.1933,7.68,0.2889,98.32,4.94,0.0151,87.6,85.285,82.66,1.2872,1023.42,0.7,0.0368,7.1,6.775,6.4,0.2491,81.3,7.08,0.0625,41.74,37.68,34.66,2.3551,452.16,8.0,-1.7699,2.2,-1.65,-5.8,2.9203,-19.8,7.3,4.2382,4.3,0.6167,-3.0,2.6135,7.4,9.4,-0.8502,0.4,-4.0167,-9.0,3.4149,-48.2,1405.913,1316.8187,-23.0859,23.4498,19.2074,4.6033,39.1474,85.6831,101.24222222222221,63.41336111111112,97.71558333333333
base_esperanza,ANTARTIDA,Antártida,SAYE,-63.3833,-56.9833,24.0,88963.0,2.34,0.1045,7.94,7.1467,5.6,0.7467,85.76,5.62,0.026,85.02,82.9667,79.4,2.154,995.6,1.2,0.0646,6.3,5.6917,5.1,0.3679,68.3,10.94,0.1014,39.52,33.73,28.58,3.419,404.76,12.3,-1.0045,1.5,-4.525,-10.8,4.5456,-54.3,10.7,-4.9045,4.3,-0.8083,-6.4,3.9645,-9.7,13.8,-0.6366,-1.2,-7.975,-15.0,5.0769,-95.7,1405.913,1316.8187,-23.0859,23.4498,19.7699,4.0066,40.2974,86.8331,108.72055555555556,68.00230555555555,101.19633333333333
base_marambio,ANTARTIDA,Antártida,SAWB,-64.2333,-56.6167,198.0,89055.0,1.86,0.0637,8.62,7.6133,6.76,0.4848,91.36,7.54,0.026,90.2,85.0167,82.66,2.2079,1020.2,1.8,0.111,6.6,5.6833,4.8,0.6308,68.2,12.94,0.0931,41.74,34.4633,28.8,3.2097,413.56,14.1,-0.6706,-0.8,-8.0167,-14.9,5.3758,-96.2,12.4,-1.0644,1.7,-4.3333,-10.7,4.6125,-52.0,16.3,-0.5372,-3.0,-11.45,-19.3,6.1513,-137.4,1405.913,1316.8187,-23.0859,23.4498,20.2682,3.4695,41.1474,87.6831,128.39625,78.19358333333334,107.62237499999999
base_orcadas,ANTARTIDA,Antártida,SAYO,-60.7333,-44.7333,12.0,88968.0,1.64,0.1149,6.14,5.225,4.5,0.6002,62.7,2.1,0.0083,88.0,87.1683,85.9,0.7253,1046.02,1.3,0.0627,7.5,6.95,6.2,0.4359,83.4,10.58,0.0939,42.54,37.8717,31.96,3.5577,454.46,10.8,-1.2537,1.4,-3.1,-9.4,3.8863,-37.2,8.9,-27.5933,3.6,-0.1167,-5.3,3.2192,-1.4,13.7,-0.798,-0.4,-6.1167,-14.1,4.8813,-73.4,1405.913,1316.8187,-23.0859,23.4498,18.6022,5.2378,37.6474,84.1831,102.49388888888889,70.56280555555556,84.45629166666667
base_san_martin,ANTARTIDA,Antártida,SAYS,-68.1167,-67.1,7.0,89066.0,1.26,0.0481,8.62,7.99,7.36,0.3842,95.88,11.46,0.0464,82.66,78.035,71.2,3.6225,936.42,1.3,0.069,6.5,6.0667,5.2,0.4185,72.8,8.86,0.0853,41.74,36.4617,32.88,3.1117,437.54,13.4,-1.1046,1.9,-4.375,-11.5,4.8325,-52.5,11.8,-3.6645,4.5,-1.1417,-7.3,4.1836,-13.7,15.8,-0.7315,-0.5,-7.925,-16.3,5.7969,-95.1,1405.913,1316.8187,-23.0859,23.4498,24.0,0.0,45.0308,91.5664,124.60077777777776,73.97486111111111,98.77054166666666
